review_id,user_id,review_text,product_name,product_type,created_at
00000001-4690,00000001,"I've had the Kindle Paperwhite for a month, and it’s quite versatile. Perfect for anyone who needs a good E-reader.",Kindle Paperwhite,E-reader,2022-04-30 20:44:37.781147
00000002-1051,00000002,The Dyson V11 Vacuum has exceeded my expectations. It's very lightweight and makes my daily tasks much easier.,Dyson V11 Vacuum,Vacuum Cleaner,2023-09-02 20:44:37.781291
00000003-9022,00000003,"I've had the Nike Air Max for a month, and it’s quite responsive. Perfect for anyone who needs a good Footwear.",Nike Air Max,Footwear,2024-09-15 20:44:37.781327
00000004-8305,00000004,"I've had the Sony WH-1000XM4 for a month, and it’s quite efficient. Perfect for anyone who needs a good Headphones.",Sony WH-1000XM4,Headphones,2023-07-17 20:44:37.781357
00000005-5083,00000005,Absolutely thrilled with the Dyson V11 Vacuum! It’s intuitive and has made such a difference in my reading sessions.,Dyson V11 Vacuum,Vacuum Cleaner,2023-05-20 20:44:37.781385
00000006-8386,00000006,"The Dell XPS 13 could be better, but it’s generally intuitive and gets the job done.",Dell XPS 13,Laptop,2022-05-23 20:44:37.781411
00000007-4460,00000007,"I recently bought the Samsung Galaxy S21, and it’s been a user-friendly experience so far. I highly recommend it for anyone needing a reliable Smartphone.",Samsung Galaxy S21,Smartphone,2022-04-22 20:44:37.781437
00000008-9467,00000008,"I've had the Samsung Galaxy S21 for a month, and it’s quite powerful. Perfect for anyone who needs a good Smartphone.",Samsung Galaxy S21,Smartphone,2023-03-20 20:44:37.781466
00000009-3032,00000009,The Fitbit Charge 5 is exactly what I was looking for. It's user-friendly and meets all my expectations for a Fitness Tracker.,Fitbit Charge 5,Fitness Tracker,2024-10-20 20:44:37.781497
00000010-2034,00000010,I love my new Kindle Paperwhite. It’s incredibly lightweight and has all the features I wanted in a E-reader.,Kindle Paperwhite,E-reader,2023-01-16 20:44:37.781535
00000011-2655,00000011,"I've had the Fitbit Charge 5 for a month, and it’s quite versatile. Perfect for anyone who needs a good Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2023-12-12 20:44:37.781562
00000012-8309,00000012,Using the Samsung Galaxy S21 has been fantastic! It’s durable and well worth the price for a Smartphone.,Samsung Galaxy S21,Smartphone,2024-02-24 20:44:37.781587
00000013-6458,00000013,The Nike Air Max is exactly what I was looking for. It's powerful and meets all my expectations for a Footwear.,Nike Air Max,Footwear,2022-09-09 20:44:37.781612
00000014-5952,00000014,The Dyson V11 Vacuum has exceeded my expectations. It's very powerful and makes my daily tasks much easier.,Dyson V11 Vacuum,Vacuum Cleaner,2022-12-14 20:44:37.781636
00000015-5885,00000015,"I was hesitant at first, but the Nike Air Max has proven to be powerful. It’s perfect for workout.",Nike Air Max,Footwear,2023-04-09 20:44:37.781661
00000016-6894,00000016,"I recently bought the Amazon Echo Dot, and it’s been a sturdy experience so far. I highly recommend it for anyone needing a reliable Smart Speaker.",Amazon Echo Dot,Smart Speaker,2023-01-13 20:44:37.781687
00000017-3569,00000017,Absolutely thrilled with the Sony WH-1000XM4! It’s powerful and has made such a difference in my reading sessions.,Sony WH-1000XM4,Headphones,2023-09-18 20:44:37.781711
00000018-1743,00000018,Using the Amazon Echo Dot has been fantastic! It’s versatile and well worth the price for a Smart Speaker.,Amazon Echo Dot,Smart Speaker,2022-04-10 20:44:37.781737
00000019-7029,00000019,The Instant Pot Duo is exactly what I was looking for. It's compact and meets all my expectations for a Cookware.,Instant Pot Duo,Cookware,2022-03-24 20:44:37.781762
00000020-1407,00000020,"I was hesitant at first, but the Apple iPhone 13 has proven to be powerful. It’s perfect for workout.",Apple iPhone 13,Smartphone,2023-03-28 20:44:37.781786
00000021-3117,00000021,The Amazon Echo Dot has exceeded my expectations. It's very user-friendly and makes my daily tasks much easier.,Amazon Echo Dot,Smart Speaker,2023-07-21 20:44:37.781814
00000022-4447,00000022,"The Samsung Galaxy S21 could be better, but it’s generally responsive and gets the job done.",Samsung Galaxy S21,Smartphone,2024-08-26 20:44:37.781838
00000023-2897,00000023,"The Dell XPS 13 could be better, but it’s generally powerful and gets the job done.",Dell XPS 13,Laptop,2022-08-29 20:44:37.781863
00000024-2003,00000024,"I was hesitant at first, but the Instant Pot Duo has proven to be versatile. It’s perfect for workout.",Instant Pot Duo,Cookware,2024-01-27 20:44:37.781889
00000025-3138,00000025,The Dyson V11 Vacuum has exceeded my expectations. It's very sturdy and makes my daily tasks much easier.,Dyson V11 Vacuum,Vacuum Cleaner,2023-10-03 20:44:37.781913
00000026-9326,00000026,Absolutely thrilled with the Samsung Galaxy S21! It’s versatile and has made such a difference in my cleaning.,Samsung Galaxy S21,Smartphone,2023-03-30 20:44:37.781937
00000027-4619,00000027,"I was hesitant at first, but the Sony WH-1000XM4 has proven to be versatile. It’s perfect for home use.",Sony WH-1000XM4,Headphones,2023-04-23 20:44:37.781962
